TeamId,TeamName,SubmissionDate,Score
5468904,Aphrodite,"2020-10-23 08:31:47",0.01838
5468908,Yana,"2020-10-22 22:45:44",0.01894
5468915,"soham mukherjee","2020-10-15 16:05:49",0.01849
5468920,ajnisbet,"2020-10-02 23:03:43",0.01971
5468923,senkin13,"2020-09-04 23:03:33",0.02063
5468936,"Sahid Velji","2020-10-16 23:32:16",0.01864
5468937,daniel,"2020-09-04 14:29:40",0.02021
5468942,"Dan Emery","2020-09-04 19:07:08",0.01913
5468956,"Gunes Evitan","2020-09-07 09:15:49",0.01865
5468966,T88,"2020-10-23 22:25:38",0.01906
5468975,authman,"2020-10-17 19:09:40",0.01886
5468981,maverick,"2020-09-10 11:18:51",0.01882
5469002,"Bojan Tunguz","2020-10-08 19:55:14",0.01850
5469008,"Christoffer Karlsson","2020-09-03 22:19:47",0.02190
5469025,Holar,"2020-09-27 20:36:20",0.01855
5469029,colum,"2020-09-19 04:11:29",0.01921
5469032,"nothing can beat me","2020-09-03 15:35:09",0.69314
5469039,"Dan Ofer","2020-09-10 14:36:02",0.01891
5469041,moog,"2020-09-06 13:37:56",0.01903
5469042,suk1yak1,"2020-09-10 03:19:08",0.01896
5469043,"Vishesh Sinha","2020-10-03 20:17:23",0.01906
5469060,Masa,"2020-10-01 06:48:33",0.01868
5469068,KeepLearning,"2020-09-25 15:33:33",0.01890
5469071,"Yusuke Nakayama","2020-09-06 18:18:59",0.68658
5469078,"Heads or Tails","2020-10-23 17:48:24",0.01858
5469079,SeuTao,"2020-09-08 02:46:19",0.01870
5469093,DejaVu,"2020-10-23 16:15:45",0.01870
5469096,anonamename,"2020-10-23 13:03:43",0.01852
5469097,"Weiguo Peng","2020-09-13 02:26:20",0.01881
5469098,"Mark Conway","2020-10-09 20:04:17",0.01850
5469112,azupero_adolph,"2020-10-03 01:10:53",0.02105
5469114,KyoppiiLand,"2020-10-15 03:17:13",0.01859
5469122,rayuron,"2020-10-18 09:17:14",0.01891
5469124,KFurudate,"2020-10-24 01:45:31",0.02033
5469128,"Giorgos Anastasakos","2020-10-05 12:25:23",0.01991
5469130,lukaszl,"2020-09-10 15:30:49",0.02026
5469131,MatthewMasters,"2020-10-07 16:06:30",0.01866
5469132,BULLIONS,"2020-10-21 13:29:04",0.01942
5469135,YYama,"2020-10-13 01:45:58",0.01855
5469139,makogarei,"2020-09-08 10:59:26",0.01862
5469141,Never$,"2020-10-25 11:21:01",0.01845
5469148,KhanisRok,"2020-09-05 06:38:45",0.01976
5469156,"Paul Larmuseau","2020-09-04 06:21:14",0.04273
5469177,charmq,"2020-09-24 12:36:33",0.01951
5469185,"Mohamad Merchant","2020-10-24 06:22:24",0.01840
5469199,Kage_Yonko,"2020-10-10 12:13:24",0.01850
5469218,ilovepotatoes,"2020-10-25 17:22:14",0.01848
5469219,AcidNets,"2020-10-25 16:24:20",0.01843
5469221,Heroseo,"2020-10-23 20:24:30",0.01858
5469225,"abbcc aabb","2020-10-20 15:23:18",0.01850
5469229,"Vitaliy Malcev","2020-09-09 20:02:38",0.08208
5469240,🥄Jr.,"2020-10-21 10:56:15",0.02030
5469242,"Shota Ichikawa","2020-09-05 23:12:49",0.02063
5469246,"Balraj Ashwath","2020-09-17 01:08:11",0.01866
5469247,BIshniki,"2020-09-10 13:24:51",0.01892
5469257,Okiyashina,"2020-09-16 05:41:53",0.01969
5469261,"In the grim darkness of the far future there is only kernels","2020-10-17 00:33:25",0.01893
5469265,TripleLift,"2020-09-03 18:21:46",0.02138
5469268,"Chia-Ta Tsai","2020-10-18 02:33:43",0.01850
5469271,KritiDoneria,"2020-09-22 11:10:34",0.01873
5469275,Roman,"2020-09-04 17:21:10",0.02038
5469276,copasta,"2020-10-12 11:34:45",0.01865
5469278,haraso,"2020-09-07 02:54:35",0.01914
5469279,"Bogdan Ivanyuk","2020-10-05 09:29:05",0.01873
5469280,mahmoudvaziri,"2020-09-13 10:39:55",0.01884
5469298,𝒟𝒾𝓂𝑒𝓃𝓈𝒾𝑜𝓃,"2020-10-04 04:31:15",0.01889
5469302,"Alexey Voytsekhovskiy","2020-09-04 05:48:47",0.69314
5469306,"Andrew Lukyanenko","2020-09-04 16:02:15",0.01903
5469313,"Adrian Brodzik","2020-09-28 10:36:46",0.01935
5469315,"Mudit Tiwari","2020-09-19 10:23:06",0.01875
5469320,zeno,"2020-10-08 05:42:36",0.01856
5469326,"SeongHun Jeong","2020-10-25 15:52:10",0.01860
5469327,"Silver Surfers Assemble","2020-10-22 02:22:46",0.01830
5469338,"Gopi Durgaprasad","2020-09-30 16:00:35",0.01862
5469343,u++,"2020-09-26 18:44:25",0.01867
5469352,"Sachin Prabhu","2020-09-05 04:32:33",0.03345
5469369,"Emin ","2020-10-10 22:25:05",0.01944
5469375,JumpeiT,"2020-09-27 03:02:54",0.01882
5469382,"Sergey Salnikov","2020-10-09 15:55:17",0.01987
5469411,"Boris Pyakillya","2020-09-03 17:12:26",0.13073
5469415,"Dmitry Larko","2020-10-22 16:55:56",0.01845
5469417,Vsn,"2020-09-05 21:04:44",0.01892
5469427,Kuroki_A,"2020-10-24 02:24:31",0.01827
5469434,"Yosuke Yoshida","2020-10-25 15:40:26",0.01841
5469450,aman2000jaiswal,"2020-09-03 18:07:59",0.03644
5469452,"Jiayang Gao","2020-09-10 03:18:43",0.01892
5469464,W.A.Clothes,"2020-09-15 07:58:40",0.02190
5469480,ArcWaterCash,"2020-09-08 08:02:36",0.02384
5469483,Michel,"2020-09-26 22:58:57",0.01958
5469493,"Alexys Pereira","2020-10-09 18:26:09",0.01928
5469496,"Maloyan Narek (PZAD)","2020-10-15 09:12:57",0.01874
5469501,plndz,"2020-09-06 11:42:01",0.01890
5469509,"ankit maurya","2020-10-07 16:56:24",0.01857
5469511,alijs,"2020-09-13 17:56:41",0.01906
5469516,"João Guilherme","2020-10-25 10:08:20",0.01844
5469520,"Khanh Vu","2020-10-12 13:33:21",0.01833
5469534,"John Macgillivray","2020-09-17 08:13:54",0.01856
5469537,"Tatiana Malygina","2020-09-13 13:32:20",0.01863
5469539,"Hiram Coria","2020-10-24 15:24:21",0.01848
5469550,"Olivier St-Amand","2020-09-14 00:01:46",0.01883
5469561,"Gleb Levitskiy","2020-10-06 14:01:03",0.01899
5469567,Fatih,"2020-10-11 20:34:29",0.01844
5469577,ziron,"2020-09-11 10:13:03",0.01946
5469579,"Chris X","2020-10-11 16:43:38",0.01873
5469587,"Alexey Latskov","2020-10-25 14:35:56",0.01844
5469620,Emanuere,"2020-09-30 06:20:49",0.01911
5469621,WindFall,"2020-09-06 00:03:26",0.01892
5469642,"Serkan Kavak","2020-09-06 00:57:44",0.01890
5469644,KS,"2020-09-04 16:30:42",0.01902
5469664,danzel,"2020-10-09 06:02:06",0.01878
5469690,JB,"2020-09-15 18:45:07",0.01911
5469692,"Please Fix Submit Bug","2020-09-05 03:53:18",0.01894
5469701,"Hiroki Narita","2020-10-20 02:41:26",0.01964
5469719,"Raheem Nasirudeen","2020-10-18 17:46:21",0.02040
5469727,"Tomoaki Sugiyama","2020-09-22 12:27:15",0.01969
5469748,"Pavel Vodolazov","2020-10-22 15:28:45",0.01857
5469755,Airlexi,"2020-09-05 08:04:04",0.01980
5469757,"Ahmed El Bakry","2020-09-10 02:30:22",0.01888
5469761,Kirua,"2020-09-04 15:30:56",0.04273
5469772,Ruslan_Kupr,"2020-10-08 12:05:28",0.01967
5469775,marketneutral,"2020-09-04 01:44:40",0.02040
5469783,Catadanna,"2020-09-28 17:57:20",0.01908
5469787,srinivas_incognito,"2020-09-27 13:05:29",0.01878
5469805,Sadhaklal,"2020-09-08 08:48:45",0.01969
5469809,subtle,"2020-09-04 23:50:49",0.01904
5469812,"Ishaan Jain","2020-09-12 17:58:11",0.02069
5469820,Fiyero,"2020-09-09 03:10:37",0.01862
5469825,"Carl McBride Ellis","2020-09-06 17:37:05",0.01980
5469828,"Mo Fahad","2020-09-04 18:40:31",0.02358
5469855,Ashutosh619-sudo,"2020-09-18 03:45:02",0.13073
5469864,haris,"2020-09-24 19:06:19",0.01954
5469866,"Alexander ","2020-09-05 07:02:59",0.01897
5469869,"William Berrios","2020-09-19 01:28:49",0.01898
5469887,JohnM,"2020-09-07 14:30:24",0.01873
5469898,kix,"2020-10-20 09:09:03",0.01983
5469902,"Muhammad Riyaj Attari","2020-10-20 19:32:47",0.01849
5469911,DocGo,"2020-09-05 22:10:32",0.01949
5469921,"Andrei Ermishin","2020-09-04 19:43:25",0.03346
5469928,JamshaidSohail,"2020-10-06 16:34:50",0.01857
5469944,"Nilesh Kadam","2020-09-25 20:10:16",0.02124
5469954,[Deleted],"2020-09-06 10:00:58",0.01907
5469956,"Ahmed Attia ","2020-10-24 00:31:10",0.01844
5469957,"Rob Mulla","2020-10-24 08:28:16",0.01849
5469959,SHRIRAM,"2020-09-13 17:37:02",0.02049
